PlayerName,CurrentTime,Latitude,Longitude,Altitude,Azimuth,BatteryLevel,CurrentState,MissionId,MissionStatus,arrivalDateTime,action,priority,packageWeight
DRO002B,22:24:15,336.05,412.82,99.79,28.15,77.31,MoveToPickupPackage,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:24:20,329.07,170.25,99.81,315.51,96.77,MoveToPickupPackage,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:24:20,347.16,418.73,99.15,14.63,76.76,Land,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:24:25,345.18,154.43,99.81,315.38,96.2,Land,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:24:25,347.1,418.7,75.74,270.3,76.25,Land,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:24:30,344.9,154.7,74.37,225.47,95.75,Land,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:24:30,347.1,418.7,59.14,270,75.68,Land,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:24:35,344.9,154.7,38.59,225,95.17,Land,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:24:35,347.1,418.7,54.79,270,75.11,PickUpPackage,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:24:40,344.9,154.7,15.41,225,94.6,Land,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:24:40,347.1,418.7,54.22,270,74.89,PickUpPackage,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:24:45,344.9,154.7,4.83,225,94.03,Land,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:24:45,347.1,418.7,60.75,268.3,74.53,TakeOff,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:24:50,344.9,154.7,3.32,225,93.5,PickUpPackage,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:24:50,347.1,418.7,96.31,268.25,73.98,TakeOff,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:24:55,344.9,154.7,3.32,225,93.48,TakeOff,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:24:55,346.93,413.11,99.78,268.25,73.48,MoveToCheckPoint,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:25:00,344.9,154.7,25.03,197.62,92.81,TakeOff,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:25:00,346.01,383.19,99.78,268.25,72.93,MoveToCheckPoint,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:25:05,344.9,154.7,72.12,197.52,92.21,TakeOff,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:25:05,344.32,328.2,99.78,268.25,72.37,MoveToCheckPoint,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:25:10,344.86,154.69,99.8,197.52,91.73,MoveToCheckPoint,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:25:10,341.87,248.34,99.78,268.25,71.82,MoveToDelivery,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:25:15,330.71,150.2,99.8,197.52,91.15,MoveToCheckPoint,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:25:15,338.95,152.28,99.78,268.25,71.27,MoveToDelivery,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:25:20,291.93,137.91,99.8,197.52,90.56,MoveToDelivery,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:25:20,337.06,89.09,99.78,268.25,70.69,MoveToDelivery,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:25:25,267.03,130.13,99.8,197.52,89.95,MoveToDelivery,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:25:25,337,87.82,94.31,14.12,70.18,Land,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:25:30,267.6,130.3,80.95,358.87,89.42,Land,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:25:30,337,87.8,56.52,45.01,69.66,Land,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:25:35,267.6,130.3,62.54,359.99,88.81,Land,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:25:35,337,87.8,26.16,45,69.07,Land,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:25:40,267.6,130.3,56.99,0,88.19,DeliverPackage,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:25:41,337,87.8,8.4,45,68.49,Land,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:25:45,267.6,130.3,56.22,0,87.86,DeliverPackage,7ec486cd-af22-444b-815b-4cfcc41a787b,InProgress,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:25:46,337,87.8,3.93,45,67.92,DeliverPackage,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:25:48,267.6,130.3,56.22,0,87.86,TakeOff,7ec486cd-af22-444b-815b-4cfcc41a787b,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:25:51,337,87.8,3.22,45,67.64,DeliverPackage,184fc634-16f3-42c0-aee5-01b396815c79,InProgress,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO002B,22:25:53,337,87.8,3.22,45,67.63,TakeOff,184fc634-16f3-42c0-aee5-01b396815c79,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:25:53,267.6,130.3,74.67,97.25,87.25,TakeOff,7ec486cd-af22-444b-815b-4cfcc41a787b,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:25:58,337,87.8,21.64,109.58,67.03,TakeOff,184fc634-16f3-42c0-aee5-01b396815c79,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:25:58,267.59,130.39,99.81,97.81,86.79,MoveToCheckPoint,7ec486cd-af22-444b-815b-4cfcc41a787b,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:26:03,337,87.8,68.01,110.09,66.46,TakeOff,184fc634-16f3-42c0-aee5-01b396815c79,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:26:03,265.47,145.73,99.81,97.81,86.23,MoveToCheckPoint,7ec486cd-af22-444b-815b-4cfcc41a787b,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:26:08,337,87.8,99.82,110.1,66.02,MoveToCheckPoint,184fc634-16f3-42c0-aee5-01b396815c79,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:26:08,259.9,186.21,99.81,97.81,85.68,MoveToCheckPoint,7ec486cd-af22-444b-815b-4cfcc41a787b,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:26:13,332.68,99.55,99.79,110.1,65.46,MoveToCheckPoint,184fc634-16f3-42c0-aee5-01b396815c79,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:26:13,252.24,242.59,99.81,97.82,85.11,ReturnToHub,7ec486cd-af22-444b-815b-4cfcc41a787b,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:26:18,319.57,135.29,99.79,110.1,64.91,MoveToCheckPoint,184fc634-16f3-42c0-aee5-01b396815c79,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:26:18,251.69,246.24,97.64,91.59,84.58,Land,7ec486cd-af22-444b-815b-4cfcc41a787b,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:26:23,297.8,194.59,99.79,110.1,64.35,MoveToCheckPoint,184fc634-16f3-42c0-aee5-01b396815c79,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:26:23,251.69,246.25,62.6,90.01,84.09,Land,7ec486cd-af22-444b-815b-4cfcc41a787b,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:26:28,267.25,277.65,99.79,110.1,63.8,ReturnToHub,184fc634-16f3-42c0-aee5-01b396815c79,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:26:28,251.69,246.25,29.08,90,83.51,Land,7ec486cd-af22-444b-815b-4cfcc41a787b,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:26:33,240.67,351.82,99.79,110.1,63.23,ReturnToHub,184fc634-16f3-42c0-aee5-01b396815c79,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:26:33,251.69,246.25,8.16,90,82.93,Land,7ec486cd-af22-444b-815b-4cfcc41a787b,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:26:38,237.4,360.04,99.57,105.29,62.67,Land,184fc634-16f3-42c0-aee5-01b396815c79,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:26:38,251.69,246.25,0.32,90,82.44,Land,7ec486cd-af22-444b-815b-4cfcc41a787b,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO001A,22:26:39,251.69,246.25,0.32,90,82.43,StandBy,7ec486cd-af22-444b-815b-4cfcc41a787b,Completed,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:26:43,237.4,360.03,76.48,310.08,62.16,Land,184fc634-16f3-42c0-aee5-01b396815c79,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:26:44,251.69,246.25,0.32,90,82.42,StandBy,7ec486cd-af22-444b-815b-4cfcc41a787b,Completed,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:26:48,237.4,360.03,57.57,310,61.58,Land,184fc634-16f3-42c0-aee5-01b396815c79,PackageDelivered,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:26:49,251.69,246.25,0.32,90,82.41,StandBy,7ec486cd-af22-444b-815b-4cfcc41a787b,Completed,2025-03-03_22-23-36,PickAndDelivery,2,0.95
DRO002B,22:26:53,237.4,360.03,51.82,310,61.17,StandBy,184fc634-16f3-42c0-aee5-01b396815c79,Completed,2025-03-03_22-23-36,PickAndDelivery,0,0.12
DRO001A,22:26:54,251.69,246.25,0.32,90,82.4,StandBy,7ec486cd-af22-444b-815b-4cfcc41a787b,Completed,2025-03-03_22-23-36,PickAndDelivery,2,0.95
